ticker,empresa,cd_cvm,setor,preco_data,valor_mercado_brl,liquidez_63d_brl,pl,pvpa,roe_ltm,roe_med5,div_liq_ebitda,cagr_receita,cagr_lucro,conversao_caixa,status,criterios_reprovados,criterios_nao_avaliados,ultima_demonstracao,dt_receb_ultimo_doc,link_doc,fontes
SCAR3,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,13781,Emp. Adm. Part. - Sem Setor Principal,2026-07-27,706643240.0,409384.84126984124,15.76,0.68,4.25,1.46,4.39,1.01,16.90,-1.86,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos; Liquidez >= R$5M/dia,,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157317,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"SHUL3,SHUL4",SCHULZ S.A.,14664,Metalurgia e Siderurgia,2026-07-27,,2564617.8412698414,indisponivel,indisponivel,18.04,21.41,-0.46,3.26,10.66,0.98,REPROVADA,CAGR receita > 10%; Liquidez >= R$5M/dia,P/VPA < 1; P/L positivo e baixo,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157397,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SEER3,SER EDUCACIONAL S.A.,23221,Educação,2026-07-27,1479249239.72,9495275.587301588,6.00,1.04,17.87,-1.19,0.57,12.03,42.17,1.69,REPROVADA,P/VPA < 1; ROE mediano 5a > 12%; Lucro positivo nos 5 anos,,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157304,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,SERENA ENERGIA S.A.,26441,Emp. Adm. Part. - Energia Elétrica,,,,indisponivel,indisponivel,-0.91,0.71,3.50,127.59,-62.51,nao_aplicavel,REPROVADA,ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR lucro > 10%; Lucro positivo nos 5 anos; FCF positivo em >=3 dos 5 anos,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-12,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157232,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,SERENA GERAÇÃO S.A.,23426,Emp. Adm. Part. - Energia Elétrica,,,,indisponivel,indisponivel,3.88,3.32,0.00,34.00,-24.07,-4.55,REPROVADA,ROE mediano 5a > 12%; CAGR lucro > 10%,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-12,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157228,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SIMH3,SIMPAR S.A.,25003,Serviços Transporte e Logística,2026-07-27,3260734863.48,22441815.42857143,prejuizo,0.77,-2.03,-2.72,3.45,33.11,-53.19,nao_aplicavel,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR lucro > 10%; Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos,,2026-03-31,2026-05-07,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156903,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SLCE3,SLC AGRICOLA S.A.,20745,"Agricultura (Açúcar, Álcool e Cana)",2026-07-27,6647352199.9800005,49462321.11111111,20.52,1.25,6.26,15.56,2.77,11.45,-14.96,4.71,REPROVADA,P/VPA < 1; P/L positivo e baixo; CAGR lucro > 10%,,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157297,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SMFT3,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,24260,Brinquedos e Lazer,2026-07-27,12132264915.119999,116243959.57142857,17.58,2.05,11.91,9.89,1.15,43.52,turnaround,3.22,REPROVADA,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; Lucro positivo nos 5 anos; FCF positivo em >=3 dos 5 anos,CAGR lucro > 10%,2026-03-31,2026-05-06,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156723,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"NEMO3,NEMO5,NEMO6",SUZANO HOLDING S.A.,9067,Emp. Adm. Part. - Papel e Celulose,,,,indisponivel,indisponivel,27.43,36.50,3.17,5.17,14.15,4.91,REPROVADA,Dívida líq./EBITDA < 3; CAGR receita > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157417,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SUZB3,SUZANO S.A.,13986,Papel e Celulose,2026-07-27,41196310234.549995,252539973.84126985,3.62,0.86,24.76,35.73,3.17,5.17,11.66,1.46,REPROVADA,Dívida líq./EBITDA < 3; CAGR receita > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos,,2026-03-31,2026-04-29,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156475,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
SYNE3,SYN PROP & TECH S.A.,21040,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2026-07-27,618208200.0,1535762.5714285714,9.42,0.89,9.60,3.37,1.28,-38.60,-52.66,1.01,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos; Liquidez >= R$5M/dia,,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157427,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
